% VITMO ModelWeb Browser Results
% NRLMSISE-00 model listing
% Input parameters
% year= 2005, month= 10, day= 8, hour=22.00,
% Time_type = Universal
% Coordinate_type = Geographic
% latitude= 69.58, longitude= 19.23, height= 100.00
% Prof. parameters: start= 85.00 stop= 700.00 step= 1.00
% 
% Optional parametes: F10.7(daily) =not specified; F10.7(3-month avg) =not specified; ap(daily) = not specified
% 
%    Selected parameters are:
% 1 Height, km
% 2 O, cm-3 
% 3 N2, cm-3
% 4 O2, cm-3
% 5 Mass_density, g/cm-3
% 6 Temperature_neutral, K
% 7 He, cm-3 
% 8 Ar, cm-3
% 9 H, cm-3
% 10 N, cm-3
% 
%     1          2          3          4         5      6          7          8          9         10
  122.0  4.083E+10  2.769E+11  4.117E+10 1.625E-11  392.4  2.054E+07  1.585E+09  3.726E+06  8.847E+05
  123.0  3.782E+10  2.473E+11  3.596E+10 1.450E-11  405.5  1.971E+07  1.387E+09  3.479E+06  9.578E+05
  124.0  3.507E+10  2.214E+11  3.149E+10 1.297E-11  419.3  1.894E+07  1.216E+09  3.248E+06  1.035E+06
  125.0  3.258E+10  1.989E+11  2.770E+10 1.165E-11  432.9  1.823E+07  1.072E+09  3.035E+06  1.119E+06
  126.0  3.036E+10  1.795E+11  2.448E+10 1.051E-11  446.2  1.759E+07  9.483E+08  2.840E+06  1.209E+06
  127.0  2.836E+10  1.625E+11  2.172E+10 9.518E-12  459.2  1.701E+07  8.426E+08  2.660E+06  1.306E+06
  128.0  2.655E+10  1.477E+11  1.935E+10 8.649E-12  471.8  1.648E+07  7.514E+08  2.495E+06  1.411E+06
  129.0  2.491E+10  1.347E+11  1.731E+10 7.886E-12  484.1  1.599E+07  6.723E+08  2.342E+06  1.523E+06
  130.0  2.342E+10  1.231E+11  1.554E+10 7.211E-12  496.1  1.554E+07  6.032E+08  2.201E+06  1.643E+06
  131.0  2.206E+10  1.129E+11  1.400E+10 6.614E-12  507.8  1.512E+07  5.427E+08  2.071E+06  1.771E+06
  132.0  2.081E+10  1.038E+11  1.265E+10 6.082E-12  519.3  1.473E+07  4.894E+08  1.950E+06  1.906E+06
