yyyy/mmdd(or -ddd)/hh.h):2018/1207/11.0UT  geog Lat/Long/Alt= 76.0/   5.0/ 100.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=  59943.6   NmF1=      0.0   NmE=   4053.1
Peak Heights/km:     hmF2=   220.63   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              98.9
Dip (Magnetic Inclination)/degree                      81.24
Modip (Modified Dip)/degree                            70.87
Solar Sunspot Number (12-months running mean) Rz12      4.3           
Ionospheric-Effective Solar Index IG12                -11.3           
Solar radio flux F10.7 (daily)                         68.1           
Solar radio flux F10.7 (81-day average)                67.8           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 1500.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 149.0   18443  0.308   599   599   726  20   0   0   0 323 656  -1   1.3  75
 150.0   19356  0.323   603   603   739  22   0   0   0 334 643  -1   1.3  75
 151.0   20268  0.338   607   607   752  25   0   0   0 345 630  -1   1.3  75
 152.0   21181  0.353   612   612   765  27   0   0   0 355 618  -1   1.3  75
 153.0   22093  0.369   615   615   778  30   0   0   0 364 606  -1   1.3  75
 154.0   23005  0.384   619   619   791  33   0   0   0 373 594  -1   1.3  75
 155.0   23918  0.399   623   623   804  36   0   0   0 381 583  -1   1.3  75
 156.0   24484  0.408   626   626   817  39   0   0   0 386 574  -1   1.3  75
 157.0   25028  0.418   630   630   830  42   0   0   0 391 567  -1   1.3  75
 158.0   25580  0.427   633   633   843  45   0   0   0 396 559  -1   1.3  75
 159.0   26139  0.436   636   636   856  48   0   0   0 400 551  -1   1.3  75
 160.0   26704  0.445   639   639   869  52   0   0   0 404 544  -1   1.3  75
 161.0   27276  0.455   642   642   882  55   0   0   0 408 536  -1   1.3  75
 162.0   27855  0.465   645   645   896  59   0   0   0 411 528  -1   1.3  75
 163.0   28441  0.474   648   648   909  64   0   0   0 414 521  -1   1.3  75
 164.0   29032  0.484   650   650   922  68   0   0   0 417 514  -1   1.3  75
 165.0   29630  0.494   653   653   935  73   0   0   0 420 507  -1   1.3  75
 166.0   30233  0.504   655   655   948  78   0   0   0 422 499  -1   1.3  75
 167.0   30842  0.515   657   657   961  83   0   0   0 424 492  -1   1.3  75
 168.0   31457  0.525   660   660   974  88   0   0   0 425 485  -1   1.3  75
 169.0   32077  0.535   662   662   987  94   0   0   0 427 478  -1   1.3  75
 170.0   32701  0.546   664   664  1000 100   0   0   0 427 471  -1   1.3  75
 171.0   33331  0.556   666   666  1013 106   0   0   0 428 465  -1   1.3  75
 172.0   33964  0.567   668   668  1026 113   0   0   0 428 458  -1   1.3  75
 173.0   34602  0.577   669   669  1039 120   0   0   0 428 451  -1   1.3  75
 174.0   35244  0.588   671   671  1052 128   0   0   0 427 444  -1   1.3  75
 175.0   35889  0.599   673   673  1065 135   0   0   0 426 437  -1   1.3  75
 176.0   36538  0.610   674   674  1078 143   0   0   0 425 430  -1   1.3  75
 177.0   37189  0.620   676   676  1091 152   0   0   0 423 423  -1   1.3  75
 178.0   37842  0.631   677   677  1104 160   0   0   0 421 417  -1   1.3  75
 179.0   38498  0.642   679   679  1117 170   0   0   0 419 410  -1   1.3  75
 180.0   39155  0.653   680   680  1130 179   0   0   0 417 403  -1   1.3  75
 181.0   39814  0.664   682   682  1143 189   0   0   0 414 396  -1   1.3  75
 182.0   40473  0.675   683   683  1156 199   0   0   0 410 389  -1   1.3  75
 183.0   41133  0.686   684   684  1169 210   0   0   0 407 382  -1   1.3  75
 184.0   41793  0.697   685   685  1182 221   0   0   0 403 375  -1   1.3  75
