% ModelWeb Browser Results
% iri 2007 model listing
% Required input parameters
% Year= 2005, Month= 10, Day= 8, Hour=22.,
% Time_type = Universal
% Coordinate_type = Geographic
% Latitude= 69.58, Longitude= 19.23, Height= 100
% Prof. parameters: Start= 85.00 Stop= 700.00 Step= 1.00
% 
% Optional input parameters:
% Sunspot number(Rz12) =not specified
% Ionospheric index(IG12) =not specified
% Upper limit for Electron content = not specified
% F peak model = URSI
% Ne Topside = NeQuick
% foF2 Storm model = on
% Bottomside Thickness = B0 Table
% F1 occurrence probability = Scotto-1997 no L
% D-Region Ne = IRI-95
% Topside Te = TTSA-2000
% Ion Composition = DS95/TT05
% A value of -1 indicates that the parameter is not available for the specified range
% TEC=-1, means you have not entered an upper boundary height in the OPTIONAL INPUT section.
% 
%    Selected parameters are:
% 1 Height, km
% 2 Electron_density_Ne, m-3
% 3 Ratio_of_Ne_to_NmF2
% 4 Tn, K
% 5 Ti, K
% 6 Te, K
% 7 O_ions, %
% 8 H_ions, %
% 9 He_ions, %
% 10 O2_ions, %
% 11 NO_ions, %
% 12 Cluster_ions, %
% 13 N_ions, %
% 
%      1            2      3      4      5      6     7     8     9    10    11    12    13
  121.00  0.94465E+09  0.012  369.0  369.0  369.0   0.0   0.0   0.0  23.0  77.0   0.0   0.0
  122.00  0.86236E+09  0.011  381.9  381.9  381.9   0.0   0.0   0.0  24.0  76.0   0.0   0.0
  123.00  0.78858E+09  0.010  394.5  394.5  394.5   0.0   0.0   0.0  25.0  75.0   0.0   0.0
  124.00  0.72304E+09  0.009  406.8  406.8  406.8   0.0   0.0   0.0  25.0  75.0   0.0   0.0
  125.00  0.66529E+09  0.009  418.6  418.6  418.6   0.0   0.0   0.0  26.0  74.0   0.0   0.0
  126.00  0.61477E+09  0.008  430.2  430.2  430.2   0.0   0.0   0.0  26.0  74.0   0.0   0.0
  127.00  0.57089E+09  0.007  441.3  441.3  441.3   0.0   0.0   0.0  27.0  73.0   0.0   0.0
  128.00  0.53305E+09  0.007  452.2  452.2  452.2   0.0   0.0   0.0  28.0  72.0   0.0   0.0
  129.00  0.50068E+09  0.007  462.8  462.8  462.8   0.0   0.0   0.0  28.0  72.0   0.0   0.0
  130.00  0.47325E+09  0.006  473.0  473.0  473.0   0.0   0.0   0.0  29.0  71.0   0.0   0.0
  131.00  0.45029E+09  0.006  482.9  482.9  482.9   0.0   0.0   0.0  29.0  71.0   0.0   0.0
  132.00  0.43135E+09  0.006  492.6  492.6  492.6   0.0   0.0   0.0  30.0  70.0   0.0   0.0
  133.00  0.41609E+09  0.005  502.0  502.0  502.0   0.0   0.0   0.0  30.0  70.0   0.0   0.0
  134.00  0.40417E+09  0.005  511.1  511.1  511.1   0.0   0.0   0.0  31.0  69.0   0.0   0.0
  135.00  0.39536E+09  0.005  519.9  519.9  519.9   0.0   0.0   0.0  32.0  68.0   0.0   0.0
  136.00  0.38941E+09  0.005  528.5  528.5  528.5   0.0   0.0   0.0  32.0  68.0   0.0   0.0
  137.00  0.38617E+09  0.005  536.8  536.8  536.8   0.0   0.0   0.0  33.0  67.0   0.0   0.0
  138.00  0.38550E+09  0.005  544.9  544.9  544.9   0.0   0.0   0.0  33.0  67.0   0.0   0.0
  139.00  0.38730E+09  0.005  552.8  552.8  552.8   0.0   0.0   0.0  34.0  66.0   0.0   0.0
  140.00  0.39150E+09  0.005  560.4  560.4  562.2   0.0   0.0   0.0  35.0  65.0   0.0   0.0
  141.00  0.39805E+09  0.005  567.8  567.8  572.1   0.0   0.0   0.0  35.0  65.0   0.0   0.0
  142.00  0.40693E+09  0.005  575.0  575.0  581.9   0.0   0.0   0.0  35.0  65.0   0.0   0.0
  143.00  0.41815E+09  0.005  582.0  582.0  591.5   0.0   0.0   0.0  35.0  65.0   0.0   0.0
  144.00  0.43170E+09  0.006  588.8  588.8  601.1   0.0   0.0   0.0  35.0  65.0   0.0   0.0
  145.00  0.44761E+09  0.006  595.4  595.4  610.4   0.0   0.0   0.0  35.0  65.0   0.0   0.0
  146.00  0.46590E+09  0.006  601.8  601.8  619.6   1.0   0.0   0.0  35.0  64.0   0.0   0.0
  147.00  0.48660E+09  0.006  608.0  608.0  628.6   1.0   0.0   0.0  35.0  64.0   0.0   0.0
